Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
National Institute of Technology Calicut	Electrical and Electronics Engineering (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	1528	1640
National Institute of Technology Calicut	Electrical and Electronics Engineering (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	2550	2550
National Institute of Technology Calicut	Electrical and Electronics Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	3093	4213
National Institute of Technology Calicut	Electrical and Electronics Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	6309	7725
National Institute of Technology Calicut	Electrical and Electronics Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL (PwD)	Gender-Neutral	264	264
National Institute of Technology Calicut	Electrical and Electronics Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL (PwD)	Female-only (including Supernumerary)	358	358
National Institute of Technology Calicut	Electrical and Electronics Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	1921	2673
National Institute of Technology Calicut	Electrical and Electronics Engineering (4 Years, Bachelor of Technology)	OS	SC	Female-only (including Supernumerary)	3301	3845
National Institute of Technology Calicut	Electrical and Electronics Engineering (4 Years, Bachelor of Technology)	OS	SC (PwD)	Gender-Neutral	78	78
National Institute of Technology Calicut	Electrical and Electronics Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	733	912
National Institute of Technology Calicut	Electrical and Electronics Engineering (4 Years, Bachelor of Technology)	OS	ST	Female-only (including Supernumerary)	1101	1440
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	6028	12245
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	12112	16350
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	OPEN (PwD)	Gender-Neutral	156	156
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	OPEN (PwD)	Female-only (including Supernumerary)	976	976
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	5532	13054
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	EWS	Female-only (including Supernumerary)	13459	22182
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	2881	4231
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	5707	6290
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL (PwD)	Gender-Neutral	231	231
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	2550	5430
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	SC	Female-only (including Supernumerary)	2394	4845
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	1230	2276
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	ST	Female-only (including Supernumerary)	9238	10094
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	5785	7530
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	9286	12560
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	OPEN (PwD)	Gender-Neutral	252	252
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	897	983
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	1679	1679
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	EWS (PwD)	Female-only (including Supernumerary)	84	84
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	2131	2824
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	4482	6056
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL (PwD)	Gender-Neutral	170	170
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	1176	1710
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	SC	Female-only (including Supernumerary)	3135	3244
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	SC (PwD)	Gender-Neutral	77	77
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	534	633
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	ST	Female-only (including Supernumerary)	885	885
National Institute of Technology Calicut	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	ST (PwD)	Gender-Neutral	20	20
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	27332	29616
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	41441	41541
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	38255	45991
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	8711	10531
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	12831	12831
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	9547	13030
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	HS	ST	Female-only (including Supernumerary)	30271	30271
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	12759	18696
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	31203	31203
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	OS	OPEN (PwD)	Gender-Neutral	788	788
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	2705	2705
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	7241	7241
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	6591	8443
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	13691	13691
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL (PwD)	Gender-Neutral	458	458
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	2876	3338
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	OS	SC	Female-only (including Supernumerary)	5734	5734
National Institute of Technology Calicut	Energy Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	2488	2488
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	17872	21952
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	19667	19791
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	HS	OPEN (PwD)	Gender-Neutral	1892	1892
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	34189	43243
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	7751	9048
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	8599	8599
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	4468	4777
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	18652	18652
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	HS	ST	Female-only (including Supernumerary)	12445	12445
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	10374	16808
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	23296	23296
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	2314	2314
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	4219	4219
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	5113	6482
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	13244	13244
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	3710	3710
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	OS	SC	Female-only (including Supernumerary)	6763	6763
National Institute of Technology Calicut	Engineering Physics (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	1730	1730
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	30846	35835
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	40202	40202
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	77284	77284
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	HS	EWS	Female-only (including Supernumerary)	84931	84931
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	10822	11216
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	13133	13133
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	11118	15820
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	38333	38333
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	19452	29458
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	37797	37797
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	OS	OPEN (PwD)	Gender-Neutral	1433	1433
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	5213	5213
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	9795	10104
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	16243	16243
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	5942	6035
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	OS	SC	Female-only (including Supernumerary)	7120	7120
National Institute of Technology Calicut	Materials Science and Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	2774	2774
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	13760	19929
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	23802	35609
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	HS	OPEN (PwD)	Gender-Neutral	1136	1249
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	13290	32461
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	HS	EWS	Female-only (including Supernumerary)	19014	70640
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	5019	6343
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	10583	11658
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL (PwD)	Gender-Neutral	848	848
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	6660	11040
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	HS	SC	Female-only (including Supernumerary)	8037	10678
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	2304	15478
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	HS	ST	Female-only (including Supernumerary)	25909	25909
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	10576	15792
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	23427	29417
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	OPEN (PwD)	Gender-Neutral	800	800
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	OPEN (PwD)	Female-only (including Supernumerary)	1077	1077
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	2367	2853
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	4165	4223
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	4468	6330
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	9673	12065
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL (PwD)	Gender-Neutral	428	428
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL (PwD)	Female-only (including Supernumerary)	623	623
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	2957	3991
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	SC	Female-only (including Supernumerary)	4970	5491
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	SC (PwD)	Gender-Neutral	338	338
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	1015	1226
National Institute of Technology Calicut	Mechanical Engineering (4 Years, Bachelor of Technology)	OS	ST	Female-only (including Supernumerary)	2109	2109
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	24030	36314
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	39555	41612
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	52279	75104
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	10400	12068
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	12586	12586
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL (PwD)	Gender-Neutral	837	837
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	7065	14846
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	HS	SC	Female-only (including Supernumerary)	14787	14787
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	28907	28907
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	24515	32846
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	38828	39535
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	OS	OPEN (PwD)	Gender-Neutral	1534	1534
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	4980	5454
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	7064	7064
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	9630	10440
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	14910	16212
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	4773	5426
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	OS	SC	Female-only (including Supernumerary)	6276	6276
National Institute of Technology Calicut	Production Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	2177	2763
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	13103	17891
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	27101	27101
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	HS	EWS	Female-only (including Supernumerary)	8237	8237
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	7026	10703
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	2350	2350
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	HS	SC	Female-only (including Supernumerary)	6715	6715
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	4076	4076
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	10101	12025
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	17050	17050
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	2877	2877
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	OS	EWS (PwD)	Gender-Neutral	146	146
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	3955	4388
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	2531	2531
National Institute of Technology Delhi	Aerospace Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	228	228
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	9839	10040
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	17868	17868
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	1846	1846
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	5553	5998
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	14443	14443
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	1465	1465
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	2372	2372
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	6610	6896
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	13378	13378
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	OS	OPEN (PwD)	Gender-Neutral	375	375
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	914	914
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	2220	2371
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	5997	5997
National Institute of Technology Delhi	Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	1569	1653
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	29814	34024
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	23177	23177
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	4796	4796
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	12281	14175
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	25036	25036
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	5556	5556
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	HS	SC	Female-only (including Supernumerary)	12307	12307
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	2943	2943
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	20507	23444
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	30069	30069
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	6697	6697
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	7402	8056
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	2993	3099
National Institute of Technology Delhi	Civil Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	641	641
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	5346	9757
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	11266	16482
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	OPEN (PwD)	Gender-Neutral	241	241
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	1628	2299
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	EWS	Female-only (including Supernumerary)	3220	3220
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	2272	5458
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	6699	9726
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL (PwD)	Female-only (including Supernumerary)	1221	1221
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	328	2093
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	SC	Female-only (including Supernumerary)	4165	4918
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	SC (PwD)	Gender-Neutral	98	98
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	469	1301
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	HS	ST	Female-only (including Supernumerary)	629	629
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	2363	7259
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	4930	13117
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	OPEN (PwD)	Female-only (including Supernumerary)	409	409
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	901	1084
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	1768	1768
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	EWS (PwD)	Gender-Neutral	39	39
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	2511	2903
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	3739	4822
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL (PwD)	Female-only (including Supernumerary)	341	341
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	1003	1361
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	SC	Female-only (including Supernumerary)	2427	2460
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	436	575
National Institute of Technology Delhi	Computer Science and Engineering (4 Years, Bachelor of Technology)	OS	ST	Female-only (including Supernumerary)	754	754
National Institute of Technology Delhi	Electrical Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	14243	18155
National Institute of Technology Delhi	Electrical Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	24708	30249
National Institute of Technology Delhi	Electrical Engineering (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	3759	4644
National Institute of Technology Delhi	Electrical Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	7674	9825
National Institute of Technology Delhi	Electrical Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	21447	21489
National Institute of Technology Delhi	Electrical Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	3269	3925
National Institute of Technology Delhi	Electrical Engineering (4 Years, Bachelor of Technology)	HS	SC	Female-only (including Supernumerary)	8704	8704
National Institute of Technology Delhi	Electrical Engineering (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	2179	2854
National Institute of Technology Delhi	Electrical Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	10909	14016
